label_column	model_name	text_column	embedding_type
coip	SuperSimpleLSTMClassifier	evd_frg	bio_glove1024
i_meth	SuperSimpleLSTMClassifier	evd_frg	bio_glove1024
i_meth_label	SuperSimpleLSTMClassifier	evd_frg	bio_glove1024
p_meth	SuperSimpleLSTMClassifier	evd_frg	bio_glove1024
p_meth_label	SuperSimpleLSTMClassifier	evd_frg	bio_glove1024
wb	SuperSimpleLSTMClassifier	evd_frg	bio_glove1024
coip	SuperSimpleLSTMClassifier	text	bio_glove1024
i_meth	SuperSimpleLSTMClassifier	text	bio_glove1024
i_meth_label	SuperSimpleLSTMClassifier	text	bio_glove1024
p_meth	SuperSimpleLSTMClassifier	text	bio_glove1024
p_meth_label	SuperSimpleLSTMClassifier	text	bio_glove1024
wb	SuperSimpleLSTMClassifier	text	bio_glove1024
